tweet_id,timestamp,source,name,jpg_url,favorite_count,retweet_count,month,year,day,stage,ratings,prediction,dog_breed,tweet_url
796387464403357696,2016-11-09,Twitter for iPhone,snicku,https://pbs.twimg.com/media/Cw1WKu1UQAAvWsu.jpg,10427,3876,11,2016,9,unknown,1.2,66,pekinese,https://t.co/cVLUasbKA5
796177847564038144,2016-11-09,Twitter for iPhone,ruby,https://pbs.twimg.com/media/Cwx99rpW8AMk_Ie.jpg,0,13322,11,2016,9,unknown,1.1,66,golden_retriever,https://t.co/y5KarNXWXt
796149749086875649,2016-11-09,Twitter for iPhone,ruby,https://pbs.twimg.com/media/Cwx99rpW8AMk_Ie.jpg,30408,13322,11,2016,9,unknown,1.1,66,golden_retriever,https://t.co/y5KarNXWXt
796116448414461957,2016-11-08,Twitter for iPhone,none,https://pbs.twimg.com/media/CwxfrguUUAA1cbl.jpg,8614,2243,11,2016,8,unknown,1.1,100,cardigan,https://t.co/7i0bDMbrVN
796080075804475393,2016-11-08,Twitter for iPhone,yogi,https://pbs.twimg.com/media/Cww-msrXcAAxm3K.jpg,7999,2158,11,2016,8,unknown,1.2,66,chow,https://t.co/opoXKxmfFm
796031486298386433,2016-11-08,Twitter for iPhone,daisy,https://pbs.twimg.com/media/CwwSaWJWIAASuoY.jpg,10237,3491,11,2016,8,unknown,1.3,66,golden_retriever,https://t.co/PbgvuD0qIL
795464331001561088,2016-11-07,Twitter for iPhone,none,https://pbs.twimg.com/ext_tw_video_thumb/795464066940764160/pu/img/jPkMMQXdydb7CqFX.jpg,46617,21875,11,2016,7,doggo,1.3,100,golden_retriever,https://t.co/gBUDjdEcqz
795400264262053889,2016-11-06,Twitter for iPhone,brody,https://pbs.twimg.com/media/CwnUUGTWIAE8sFR.jpg,9476,2674,11,2016,6,unknown,1.2,66,golden_retriever,https://t.co/2H4MfOGlpQ
795076730285391872,2016-11-06,Twitter for iPhone,bailey,https://pbs.twimg.com/media/CwiuEJmW8AAZnit.jpg,15304,5078,11,2016,6,unknown,1.1,0,gas_pump,https://t.co/ivPWhspN3E
794983741416415232,2016-11-05,Twitter for iPhone,rizzy,https://pbs.twimg.com/media/CvT6IV6WEAQhhV5.jpg,0,3145,11,2016,5,unknown,1.2,100,schipperke,https://t.co/TU4sZogVIq
794926597468000259,2016-11-05,Twitter for iPhone,mack,https://pbs.twimg.com/media/CwglhZVXgAAc3_w.jpg,9648,2152,11,2016,5,unknown,1.2,33,teddy,https://t.co/XRPvTPF0VH
794355576146903043,2016-11-04,Twitter for iPhone,butter,https://pbs.twimg.com/media/CvJCabcWgAIoUxW.jpg,0,9628,11,2016,4,unknown,1.2,66,cocker_spaniel,https://t.co/x5gXRS1abq
794332329137291264,2016-11-04,Twitter for iPhone,nimbus,https://pbs.twimg.com/media/CwYJBiHXgAQlvrh.jpg,9107,2530,11,2016,4,unknown,1.2,100,samoyed,https://t.co/SIQbb8c3AU
794205286408003585,2016-11-03,Twitter for iPhone,laika,https://pbs.twimg.com/media/CwWVe_3WEAAHAvx.jpg,8748,3102,11,2016,3,pupper,1.4,0,pedestal,https://t.co/trSjgY3h4g
